Name,Accuracy,Precision,Recall,Latency Recall,Weighted Recall,P_miss,P_false_alarm,R_false_alarm,NDCR,Red Recall,Orange Recall,Green Recall
GoLive2.mp4,0.5737142857142857,0.0707070707070707,0.8484848484848485,0.9524734615578182,0.837037037037037,0.15151515151515152,0.43705463182897863,38964.705882352944,194.97504456327988,0.85,0.0,0.9166666666666666
marcher_180.mp4,0.3507751937984496,0.12618296529968454,0.40816326530612246,0.5215483084574113,0.3216374269005848,0.5918367346938775,0.6626794258373205,58658.82352941176,293.8859543817527,0.2054794520547945,1.0,0.0
GoLive1.mp4,0.314878892733564,0.02782608695652174,0.3137254901960784,0.9836048197890277,0.3137254901960784,0.6862745098039216,0.6850490196078431,59188.23529411764,296.62745098039215,0.3137254901960784,0.0,0.0
GoLive2_fog.mp4,0.5642201834862385,0.016574585635359115,0.2,0.47243873545248327,0.13675213675213677,0.8,0.42280285035629456,37694.117647058825,189.27058823529413,0.11764705882352941,0.0,0.3333333333333333
GoLive1_gaussian_blur.mp4,0.3914590747330961,0.03088803088803089,0.5925925925925926,0.8227321081161152,0.5925925925925926,0.4074074074074074,0.6151960784313726,54763.63636363636,274.2255892255892,0.5925925925925926,0.0,0.0
GoLive2_salt_and_pepper.mp4,0.8887614678899083,0.14736842105263157,0.4666666666666667,0.9777313744070628,0.717948717948718,0.5333333333333333,0.09619952494061758,8576.470588235294,43.4156862745098,0.8235294117647058,0.0,0.0
GoLive2_gaussian_noise.mp4,0.6846330275229358,0.015810276679841896,0.13333333333333333,0.41102469542822273,0.07692307692307693,0.8666666666666667,0.29572446555819476,26364.70588235294,132.69019607843137,0.058823529411764705,0.0,0.25
marcher_180_gaussian_noise.mp4,0.40310077519379844,0.14285714285714285,0.42857142857142855,0.5187058213572064,0.34502923976608185,0.5714285714285714,0.6028708133971292,53364.705882352944,267.3949579831933,0.2328767123287671,1.0,0.0
GoLive1_gaussian_noise.mp4,0.8801897983392646,0.0375,0.1111111111111111,0.7188497956979626,0.1111111111111111,0.8888888888888888,0.09436274509803921,8400.0,42.888888888888886,0.1111111111111111,0.0,0.0
GoLive2_gaussian_blur.mp4,0.7454128440366973,0.06363636363636363,0.4666666666666667,0.9777313744070628,0.717948717948718,0.5333333333333333,0.24465558194774348,21811.764705882353,109.5921568627451,0.8235294117647058,0.0,0.0
GoLive1_fog.mp4,0.867141162514828,0.19424460431654678,1.0,0.6041212665233436,1.0,0.0,0.13725490196078433,12218.181818181818,61.09090909090909,1.0,0.0,0.0
marcher_180_salt_and_pepper.mp4,0.4573643410852713,0.25925925925925924,1.0,0.37090840405712905,1.0,0.0,0.6698564593301436,59294.117647058825,296.47058823529414,1.0,1.0,0.0
marcher_180_gaussian_blur.mp4,0.810077519379845,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
marcher_180_fog.mp4,0.7732558139534884,0.1724137931034483,0.05102040816326531,0.47581175724601515,0.04093567251461988,0.9489795918367347,0.05741626794258373,5082.35294117647,26.360744297719087,0.0273972602739726,0.12,0.0
GoLive1_salt_and_pepper.mp4,0.6227758007117438,0.06824925816023739,0.8518518518518519,0.6693567042426598,0.8518518518518519,0.14814814814814814,0.38480392156862747,34254.545454545456,171.42087542087543,0.8518518518518519,0.0,0.0
