Name,Accuracy,Precision,Recall,Latency Recall,Weighted Recall,P_miss,P_false_alarm,R_false_alarm,NDCR,Red Recall,Orange Recall,Green Recall
marcher_180.mp4,0.8565891472868217,0.9875,0.5197368421052632,0.671041914430328,0.49382716049382713,0.48026315789473684,0.0027472527472527475,211.76470588235293,1.5390866873065017,0.1,0.5492957746478874,0.0
marcher_180.mp4,0.374031007751938,0.32,1.0,0.6,1.0,0.0,0.8873626373626373,68400.0,342.0,1.0,1.0,0.0
marcher_180.mp4,0.4050387596899225,0.3304157549234136,0.993421052631579,0.5976449874531372,0.9938271604938271,0.006578947368421052,0.8406593406593407,64800.0,324.00657894736844,1.0,0.9929577464788732,0.0
marcher_180.mp4,0.7054263565891473,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
marcher_180.mp4,0.7054263565891473,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
marcher_180.mp4,0.7054263565891473,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
marcher_180.mp4,0.7054263565891473,0.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
marcher_180.mp4,0.8798449612403101,0.7102803738317757,1.0,0.6,1.0,0.0,0.17032967032967034,13129.411764705883,65.64705882352942,1.0,1.0,0.0
marcher_180.mp4,0.7790697674418605,0.5714285714285714,1.0,0.6,1.0,0.0,0.3131868131868132,24141.176470588234,120.70588235294117,1.0,1.0,0.0
marcher_180.mp4,0.6705426356589147,0.4664179104477612,0.8223684210526315,0.5408512213154062,0.8333333333333334,0.17763157894736842,0.39285714285714285,30282.35294117647,151.58939628482972,1.0,0.8098591549295775,0.0
marcher_180.mp4,0.6453488372093024,0.4124293785310734,0.48026315789473684,0.5023564132682607,0.4876543209876543,0.5197368421052632,0.2857142857142857,22023.529411764706,110.6373839009288,0.6,0.47183098591549294,0.0
marcher_180.mp4,0.7170542635658915,0.5153061224489796,0.6644736842105263,0.6052627537486185,0.6481481481481481,0.3355263157894737,0.260989010989011,20117.647058823528,100.92376160990712,0.4,0.6830985915492958,0.0
