Model's parameters: 
{'source': PosixPath('/home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4'), 'classes': [0], 'project': '/home/lucas/Documents/computer_vision/src/computer_vision/experimentation/predict', 'name': 'GX010077', 'stream': True, 'save': True, 'save_txt': True, 'save_conf': True, 'show': False}

video 1/1 (frame 47/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 48/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 49/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 50/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 51/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 52/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 53/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 54/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 55/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 56/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
video 1/1 (frame 57/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 58/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.6ms
video 1/1 (frame 59/104) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010077.MP4: 384x640 (no detections), 23.7ms
