Model's parameters: 
{'source': PosixPath('/home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4'), 'classes': [0], 'project': '/home/lucas/Documents/computer_vision/src/src/computer_vision/experimentation/predict', 'name': 'GX010126', 'stream': True, 'save': False, 'save_txt': True, 'save_conf': True, 'show': False}

video 1/1 (frame 46/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 18.0ms
video 1/1 (frame 47/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.8ms
video 1/1 (frame 48/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.7ms
video 1/1 (frame 49/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 21.4ms
video 1/1 (frame 50/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 51/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.7ms
video 1/1 (frame 52/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.7ms
video 1/1 (frame 53/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 54/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.5ms
video 1/1 (frame 55/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 25.5ms
video 1/1 (frame 56/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 35.9ms
video 1/1 (frame 57/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 19.1ms
video 1/1 (frame 58/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 18.0ms
video 1/1 (frame 59/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.4ms
video 1/1 (frame 60/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 14.3ms
video 1/1 (frame 61/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 16.9ms
video 1/1 (frame 62/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 42.7ms
video 1/1 (frame 63/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 20.3ms
video 1/1 (frame 64/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 13.7ms
video 1/1 (frame 65/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 31.3ms
video 1/1 (frame 66/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 22.1ms
video 1/1 (frame 67/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 25.3ms
video 1/1 (frame 68/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 35.1ms
video 1/1 (frame 69/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 26.3ms
video 1/1 (frame 70/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 14.4ms
video 1/1 (frame 71/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 14.9ms
video 1/1 (frame 72/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 15.3ms
video 1/1 (frame 73/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.8ms
video 1/1 (frame 74/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.5ms
video 1/1 (frame 75/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.7ms
video 1/1 (frame 76/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 15.7ms
video 1/1 (frame 77/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 78/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.7ms
video 1/1 (frame 79/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.7ms
video 1/1 (frame 80/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 81/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.7ms
video 1/1 (frame 82/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.2ms
video 1/1 (frame 83/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.7ms
video 1/1 (frame 84/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 85/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 12.4ms
video 1/1 (frame 86/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.9ms
video 1/1 (frame 87/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 12.0ms
video 1/1 (frame 88/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 12.0ms
video 1/1 (frame 89/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 3 persons, 15.7ms
video 1/1 (frame 90/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 91/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.9ms
video 1/1 (frame 92/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 93/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 94/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 95/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 96/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 97/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 98/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 20.2ms
video 1/1 (frame 99/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 17.0ms
video 1/1 (frame 100/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.9ms
video 1/1 (frame 101/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 43.1ms
video 1/1 (frame 102/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 15.8ms
video 1/1 (frame 103/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.7ms
video 1/1 (frame 104/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 (no detections), 11.6ms
video 1/1 (frame 105/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.2ms
video 1/1 (frame 106/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 20.1ms
video 1/1 (frame 107/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 15.0ms
video 1/1 (frame 108/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 16.8ms
video 1/1 (frame 109/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 110/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 14.2ms
video 1/1 (frame 111/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 112/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 12.0ms
video 1/1 (frame 113/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 114/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 115/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 116/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 117/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 118/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.7ms
video 1/1 (frame 119/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 120/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 121/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 122/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 123/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 124/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 13.1ms
video 1/1 (frame 125/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.9ms
video 1/1 (frame 126/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 127/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 128/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 129/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 130/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 131/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 132/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 133/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 134/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 135/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 136/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 2 persons, 11.6ms
video 1/1 (frame 137/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 138/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
video 1/1 (frame 139/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 16.2ms
video 1/1 (frame 140/40362) /home/lucas/Documents/computer_vision/videos/chantier_1/GX010126.MP4: 384x640 1 person, 11.6ms
